StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q79#1_1,Q79#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q112,Q113,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:38:16,2018-07-04 11:51:50,0,174.60.56.18,100,814,1,2018-07-04 11:51:51,R_3GuH1AdX86rmPUe,,,,,39.796798706055,-76.99299621582,anonymous,EN,1,2,24,3,5,3,4,4,5,2,4,4,2,5,3,2,4,4,5,3,4,5,5,5,2,4,4,3,4,5,2,3,4,5,2,5,4,3,1,4,1,4,3,5,1,5,3,4,1.983,63.335,83.747,56,5,5,1,4,1,1,1,4,5,3,4,4,5,3,4.016,35.132,52.263,14,1,4.298,4.298,8.593,1,1,1.203,1.203,2.508,1,3,20.572,20.572,21.534,1,2,0.988,0.988,1.984,1,1,0.708,0.708,1.981,1,1,0.439,0.439,1.09,1,2,4.125,4.125,5.12,1,2,2.325,2.325,3.916,1,4,4,4,4,5.199,7.513,16.038,4,1,1,1,1,1,1,1,1,4,1,1,3,4,1,2,2,2,3,3,3,3,3,3,5,5,3,1,1,1,1,1,1,4,1,1,3,4,1,2,2,2,3,3,3,3,3,3,5,5,3,13.453,71.714,91.333,51,4,"I think Red tends to analyze things more efficiently and put things in a more logical order than blue can. Even though sometimes, depending on the scenario, Blue's ranking did make more sense.",94813562
2018-07-04 11:39:26,2018-07-04 11:52:26,0,100.36.53.170,100,780,1,2018-07-04 11:52:27,R_1GCf3z8V47zJYRt,,,,,38.624603271484,-76.939102172852,anonymous,EN,1,2,24,5,2,2,3,1,4,5,3,3,5,2,2,1,4,1,3,3,4,1,1,3,5,4,5,5,3,2,3,3,2,4,4,4,3,5,4,2,2,4,3,4,4,4,4,1,1.169,63.772,64.246,104,3,4,3,2,3,3,2,2,3,2,2,2,2,2,3.508,28.054,31.783,25,1,2.224,2.224,5.946,1,2,0.37,0.37,0.93,1,4,3.051,3.051,3.79,1,2,0.282,0.282,0.9,1,2,0.186,0.772,1.087,2,1,0.156,0.73,0.973,2,2,1.474,1.474,2.234,1,2,0.574,0.574,1.152,1,4,4,4,1,5.513,8.428,9.068,4,,,2,1,1,1,1,3,1,1,1,1,4,3,3,3,3,3,3,2,3,3,3,5,5,1,2,1,1,1,1,3,1,1,1,2,4,3,3,3,3,3,3,2,3,3,3,5,5,1,102.956,181.396,182.576,83,4,I think I agreed more with the answers of this robot,65494158
2018-07-04 11:37:18,2018-07-04 11:52:41,0,73.167.138.231,100,922,1,2018-07-04 11:52:41,R_1FJJG6UOccX69LN,,,,,43.81950378418,-73.092597961426,anonymous,EN,1,2,30,5,1,4,5,4,4,5,3,2,1,4,2,4,3,4,3,2,2,2,5,3,5,2,3,2,5,4,3,5,4,4,4,3,4,2,3,1,4,3,4,4,2,4,3,4,0.535,0.535,55.247,1,3,4,4,5,4,3,2,2,2,1,3,4,2,3,59.95,59.95,113.029,1,1,1.134,1.134,2.067,1,1,1.1,1.1,2.536,1,4,5.248,5.248,6.492,1,1,0.281,0.281,1.075,1,2,0.989,0.989,2.039,1,2,0.771,1.124,1.864,2,1,0.546,0.546,1.747,1,1,0.395,0.395,1.52,1,4,4,4,4,3.35,15.809,16.445,4,1,5,2,1,2,2,1,2,2,1,1,3,2,2,3,3,3,3,2,2,3,1,2,2,2,3,4,4,3,2,1,2,2,1,1,3,2,2,3,3,3,3,2,2,3,1,2,2,2,3,71.956,115.921,200.263,9,4,It's suggestions/rankings seemed to make more logical sense to me.,60036255
2018-07-04 11:42:41,2018-07-04 11:53:20,0,50.44.110.133,100,638,1,2018-07-04 11:53:20,R_1eS6jGY5UCiIQcb,,,,,40.466094970703,-88.903396606445,anonymous,EN,1,1,30,5,2,4,4,1,4,4,4,2,4,5,4,2,5,4,4,4,3,2,4,4,4,3,2,4,4,5,5,5,4,5,4,4,4,4,4,1,2,4,2,4,2,3,2,5,8.591,146.458,146.822,45,4,4,2,2,4,2,3,2,4,2,4,4,4,4,11.387,39.486,40.009,14,2,0.782,0.782,1.396,1,2,0.807,0.807,1.388,1,1,18.885,18.885,19.754,1,2,0.771,0.771,1.406,1,2,0.422,0.422,1.062,1,2,0.462,0.462,1.232,1,1,0.462,0.462,1.156,1,2,0.621,0.621,1.194,1,1,1,1,4,4.196,10.189,10.821,5,2,2,2,1,2,1,1,3,2,1,1,3,3,2,4,3,2,3,4,4,3,2,3,3,3,4,3,1,2,1,1,3,2,1,1,3,3,2,4,3,2,3,3,3,3,2,3,3,3,4,8.161,85.214,85.713,53,5,"It chose the term with ""or"" (which has a higher probability) sooner than the other robot. However, it still didn't get the questions exactly right. I focused mainly on their answers and not their manuerisms.",35944214
2018-07-04 11:37:48,2018-07-04 11:53:32,0,172.56.0.234,100,943,1,2018-07-04 11:53:33,R_7TF7eN0fxa4dLq1,,,,,37.751007080078,-97.821998596191,anonymous,EN,1,2,54,3,4,2,5,1,4,4,4,1,5,5,4,2,5,1,4,4,3,1,1,4,4,4,1,5,4,4,4,4,2,4,2,4,5,5,3,4,2,4,1,4,3,4,2,2,2.86,96.446,98.278,45,3,3,4,1,4,3,2,2,3,1,2,1,2,2,6.62,55.395,56.766,14,1,5.51,5.51,7.094,1,1,1.47,1.47,2.801,1,4,18.535,18.535,20.475,1,1,1.12,1.12,2.181,1,1,1.079,1.079,2.743,1,1,1.261,1.261,2.407,1,2,0.83,1.992,5.035,2,1,1.268,1.268,2.446,1,4,4,4,4,4.938,12.975,14.845,4,1,5,3,4,3,2,3,3,3,2,2,3,3,3,4,3,4,3,3,3,3,3,3,4,4,2,4,4,3,2,4,3,4,2,3,3,4,3,4,3,4,3,4,3,3,3,3,4,4,2,34.767,153.617,155.329,50,4,"The only real reason is that the Red robot ordered the phrases in a more logical way.  As a secondary consideration, the Red robot's movements seemed smoother on average.",21264624
2018-07-04 11:42:04,2018-07-04 11:55:46,0,173.29.238.222,100,822,1,2018-07-04 11:55:47,R_AyDljEl6D41PSIF,,,,,41.729705810547,-93.605796813965,anonymous,EN,1,2,37,3,1,1,4,4,2,5,4,4,4,4,1,1,4,1,4,1,4,1,4,1,5,4,4,4,2,1,2,2,2,2,4,4,4,2,4,2,1,2,2,2,4,4,2,2,2.812,97.872,98.832,45,4,4,2,4,4,2,2,4,4,2,4,4,2,4,8.264,53.491,54.33,14,2,3.807,3.807,4.917,1,2,0.91,0.91,2.086,1,4,20.389,20.389,21.749,1,1,1.297,1.297,2.332,1,1,0.706,0.706,1.682,1,1,1.049,1.049,2.055,1,2,2.455,2.455,4.171,1,1,1.325,1.325,2.322,1,4,4,4,4,3.205,6.689,7.683,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,38.628,130.694,132.256,61,4,This robot stated the answers in a way I liked better.,52297860
2018-07-04 11:44:34,2018-07-04 11:55:55,0,98.193.105.168,100,681,1,2018-07-04 11:55:56,R_29aX9AoTxPdhIYp,,,,,42.359497070312,-88.273399353027,anonymous,EN,1,1,40,5,3,1,5,1,4,3,5,1,5,5,4,1,5,2,3,4,5,1,1,3,3,5,1,5,3,4,1,5,1,5,4,5,5,5,3,2,1,5,1,3,1,4,1,5,0,0,61.185,0,3,3,4,2,3,3,2,2,4,2,2,2,2,2,0,0,33.503,0,1,0,0,1.457,0,2,0,0,0.629,0,4,0,0,3.184,0,2,0,0,0.609,0,2,0,0,0.696,0,1,0,0,1.93,0,2,0.173,0.908,2.195,2,1,0.818,0.818,1.427,1,1,1,1,4,2.733,23.565,24.251,6,,,1,1,1,1,1,3,3,1,1,5,5,3,3,3,3,5,4,4,3,4,5,5,5,2,1,1,1,1,1,3,3,1,1,5,5,3,3,3,3,5,4,4,3,4,5,5,5,2,19.401,21.902,81.096,3,5,I agreed with this robot's assessment more than red's.,35240339
2018-07-04 11:42:00,2018-07-04 11:56:49,0,69.180.83.7,100,889,1,2018-07-04 11:56:50,R_3IRJjcvDitJA2nl,,,,,30.218704223633,-81.753997802734,anonymous,EN,1,1,37,5,5,1,4,2,5,5,4,2,5,5,5,1,5,2,4,4,5,1,2,4,3,4,2,4,5,5,1,4,1,4,3,5,5,5,3,4,2,5,4,5,3,4,2,5,3.888,58.488,59.105,101,4,3,4,3,2,1,3,4,5,4,4,3,5,2,7.433,68.866,69.66,34,1,1.559,2.279,2.315,3,1,0.929,0.941,1.611,2,4,8.553,8.56,13.096,2,2,0.414,0.42,1.134,2,1,0.665,0.675,1.341,2,1,0.527,0.538,1.41,2,2,0.387,0.397,1.213,2,1,4.673,5.215,5.934,4,4,4,1,1,5.343,9.988,10.988,8,1,5,1,2,3,1,2,3,2,1,1,3,5,5,5,5,5,5,3,4,5,4,4,4,5,2,5,2,3,1,4,3,4,1,1,4,5,5,5,5,5,5,4,5,5,5,5,4,3,1,82.215,228.655,229.405,127,4,I prefer this robot becasue it seems more intelligent and lively.,90733711
