StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q79#1_1,Q79#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q110,Q111,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:40:59,2018-07-04 11:52:41,0,24.130.227.229,100,702,1,2018-07-04 11:52:42,R_2ZX2zuf6oUo6N8e,,,,,37.369705200195,-122.02140045166,anonymous,EN,1,1,41,3,4,3,4,2,5,4,4,2,4,4,3,2,5,4,4,4,4,2,2,4,4,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,2,3.912,85.325,86.03,47,3,3,4,2,3,3,3,2,2,2,2,2,2,2,4.91,49.917,51.36,14,1,1.361,1.361,2.344,1,1,0.761,0.761,1.729,1,4,6.511,6.511,9.275,1,1,0.44,0.44,1.439,1,1,0.717,0.717,1.657,1,1,0.872,0.872,1.762,1,2,1.375,1.375,2.284,1,1,1.068,1.068,2.074,1,4,4,4,4,10.312,15.191,16.338,5,,,1,5,1,1,1,1,1,1,1,1,1,3,3,3,3,1,5,1,3,3,3,5,4,3,5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,5,1,3,3,3,5,4,3,21.941,143.239,143.862,50,4,"It seemed more personable.  For a robot, that is .",40697619
2018-07-04 11:38:49,2018-07-04 11:53:22,0,173.174.144.246,100,873,1,2018-07-04 11:53:23,R_1r18SsbUjQeUCyn,,,,,29.589202880859,-98.293899536133,anonymous,EN,1,2,26,3,1,3,4,5,4,5,4,2,1,5,1,1,4,5,3,3,3,2,5,5,5,2,4,1,5,1,4,4,4,5,5,5,5,4,5,1,2,3,5,5,1,2,5,3,1.615,98.468,99.907,53,1,3,5,1,5,5,2,5,2,1,4,1,1,2,5.07,70.202,71.689,19,1,3.399,3.399,5.523,1,1,0.647,0.647,1.787,1,4,7.347,7.347,8.714,1,2,0.717,0.717,1.741,1,2,0.922,0.922,1.757,1,2,0.78,0.78,1.489,1,2,1.472,1.472,2.248,1,1,2.563,2.563,4.267,1,1,4,1,4,15.42,27.309,28.089,6,1,5,3,2,5,2,3,3,2,1,1,5,5,4,2,3,3,3,5,5,5,5,5,3,5,3,5,4,5,4,2,3,4,1,2,5,5,4,5,4,4,4,4,5,3,5,4,2,3,3,25.6,151.045,153.424,56,4,Red felt more human in it's responses I guess.,60944512
2018-07-04 11:38:17,2018-07-04 11:53:43,0,174.101.212.155,100,925,1,2018-07-04 11:53:43,R_BsjI1PJjk3inFlv,,,,,39.883407592773,-83.830001831055,anonymous,EN,1,2,35,2,2,2,4,4,2,4,4,1,4,3,2,2,4,4,2,2,4,1,2,2,4,4,2,4,2,2,4,4,2,2,4,4,4,4,4,2,2,4,2,2,4,4,2,2,2.098,71.219,72.177,48,4,4,2,2,2,2,2,4,4,4,4,4,3,4,5.89,54.755,55.976,14,1,3.025,3.025,4.055,1,1,0.707,0.707,1.725,1,4,6.104,6.104,7.624,1,1,0.495,0.495,1.512,1,1,0.92,0.92,1.973,1,2,0.945,0.945,3.943,1,1,0.495,2.062,5.115,2,1,1.389,1.389,2.387,1,4,4,4,4,4.443,19.22,21.84,8,,,4,3,3,5,4,3,4,4,4,3,5,4,4,4,4,4,3,3,3,3,2,5,5,3,5,2,4,5,4,3,4,3,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,3,56.494,145.599,146.402,51,4,I agreed with it's answers more often than the blue robot. ,94359058
2018-07-04 11:38:30,2018-07-04 11:53:54,0,72.14.101.106,100,923,1,2018-07-04 11:53:55,R_s56yVlTR6vVmnVT,,,,,36.635498046875,-88.282997131348,anonymous,EN,1,2,36,5,1,1,5,4,3,5,4,2,1,5,1,1,5,5,4,1,5,2,5,5,5,4,1,4,1,1,4,5,1,4,5,4,4,3,5,1,1,3,5,5,2,3,1,4,2.182,62.727,63.876,45,3,3,4,1,3,2,1,2,2,1,2,2,1,3,6.031,52.511,53.649,16,2,6.941,6.941,8.233,1,1,0.421,0.421,1.35,1,4,36.521,36.521,37.396,1,1,0.202,0.202,1.816,1,1,0.123,0.123,1.079,1,2,0.645,0.645,1.813,1,2,2.18,2.18,3.4,1,1,0.806,0.806,1.631,1,4,4,4,1,5.637,24.823,26.152,7,1,5,3,4,3,4,2,2,1,3,4,2,3,3,4,4,4,3,3,2,3,2,2,1,2,4,2,1,3,2,4,3,3,2,2,4,4,3,2,2,2,3,5,4,4,4,4,3,4,2,23.326,183.859,186.808,59,4,"The red robot seemed to make better analytical judgments. It also didn't jerk around as much when it moved, which made me feel a little more comfortable.",57810958
2018-07-04 11:40:01,2018-07-04 11:54:00,0,107.12.182.11,100,838,1,2018-07-04 11:54:01,R_BrGr7GRYw6ajebT,,,,,34.776596069336,-76.886703491211,anonymous,EN,1,1,55,2,4,2,4,1,3,3,4,2,4,4,4,1,4,1,3,4,4,1,2,4,3,4,1,4,3,4,1,4,2,3,2,4,4,4,4,4,2,4,1,3,3,4,2,2,3.376,82.994,83.779,46,2,3,4,2,4,4,1,2,3,4,2,1,1,2,7.409,54.322,55.054,15,1,1.623,1.623,2.577,1,1,0.919,0.919,1.966,1,4,24.586,24.586,25.768,1,1,0.805,1.707,2.099,2,1,0.646,0.646,1.665,1,1,0.445,0.445,1.409,1,1,0.674,0.674,1.73,1,1,0.719,0.719,1.571,1,4,4,4,4,3.737,20,21.286,6,,,3,3,4,3,3,4,3,4,4,3,4,3,4,4,4,4,3,3,4,3,3,4,4,2,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,56.786,128.612,129.408,49,4,I think his answers were more in line with what I would have chosen and his movements were alittle more natural.,19944423
2018-07-04 11:41:07,2018-07-04 11:54:22,0,72.209.19.7,100,794,1,2018-07-04 11:54:23,R_YSNT9LVO0KnGBa1,,,,,41.776992797852,-72.523597717285,anonymous,EN,1,1,26,3,2,3,3,5,4,5,4,3,1,5,1,2,3,4,2,2,4,3,5,4,4,4,2,1,3,2,2,3,4,5,5,4,3,2,2,2,1,3,5,4,1,4,4,4,2.424,64.42,64.997,59,3,3,4,2,4,3,2,4,3,2,2,2,1,2,9.134,37.593,38.356,17,1,3.626,3.626,4.864,1,1,0.716,0.716,1.886,1,4,4.828,4.828,11.34,1,1,0.398,0.398,1.253,1,1,0.292,0.292,1.429,1,2,0.5,0.5,1.335,1,1,0.587,0.587,1.332,1,1,0.343,0.343,1.447,1,4,4,4,4,3.757,10.943,13.442,5,1,5,2,2,2,2,2,3,3,3,2,3,3,3,4,4,4,4,3,3,3,3,3,4,4,2,4,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,19.732,123.863,124.738,66,4,none of the lists make sense but I guess the red robot's sound better,72538009
2018-07-04 11:38:42,2018-07-04 11:55:06,0,50.74.49.203,100,983,1,2018-07-04 11:55:07,R_2DRCBZ8alN4g8BA,,,,,40.727996826172,-73.945297241211,anonymous,EN,1,2,47,5,1,4,5,2,4,5,4,2,2,5,2,1,5,5,4,1,3,1,5,4,5,5,2,2,4,1,4,5,5,3,5,5,4,4,4,1,2,5,5,5,3,5,2,1,0,0,118.698,0,2,3,4,2,4,2,2,4,2,2,2,2,2,3,0,0,61.452,0,1,0,0,5.963,0,1,1.084,1.084,1.75,1,1,13.502,13.502,16.774,1,1,0.38,1.263,1.817,2,1,0,0,1.145,0,2,0.705,0.705,1.509,1,2,0.576,1.695,2.673,2,1,0.956,0.956,1.862,1,4,4,4,4,0,0,13.934,0,,,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,2,50.848,259.847,261.957,75,4,This one was more friendly.,51499727
2018-07-04 11:39:24,2018-07-04 11:57:35,0,67.169.209.224,100,1090,1,2018-07-04 11:57:36,R_1NEXevgBRaeqCkq,,,,,44.469802856445,-123.34300231934,anonymous,EN,1,2,50,5,1,2,4,3,3,5,4,2,4,5,3,2,4,2,3,2,4,1,1,4,5,4,2,4,3,1,3,4,2,4,5,4,4,4,1,1,2,4,2,5,3,4,2,4,2.737,121.48,121.941,48,3,3,4,2,4,4,1,1,1,1,1,1,1,1,3.737,58.671,60.35,17,1,1.432,1.432,4.186,1,1,1.122,1.122,2.419,1,4,243.75,243.75,244.866,1,1,1.056,1.056,2.032,1,2,0.55,0.55,1.633,1,1,1.091,1.091,2.3,1,1,0.572,3.697,4.976,3,1,1.56,1.56,2.746,1,4,1,4,1,4.807,13.406,14.892,5,4,3,3,4,4,3,3,3,3,4,3,3,4,3,4,3,4,4,5,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,3,3,3,2,3,4,5,4,4,4,4,4,4,4,3,4,19.395,128.383,129.684,60,4,It seemed to think like me,71931548
