StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q79#1_1,Q79#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q108,Q109,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:24:19,2018-07-04 11:31:45,0,138.75.69.205,100,445,1,2018-07-04 11:31:46,R_12hhbwziTC4ZkC4,,,,,1.2931060791016,103.85580444336,anonymous,EN,1,2,33,5,5,1,3,2,1,2,2,3,2,3,4,5,3,3,2,3,1,1,4,1,3,4,1,4,4,1,5,1,5,1,1,2,2,5,1,2,1,1,2,4,4,3,2,4,0,0,8.116,0,1,5,1,1,1,2,4,1,1,1,5,5,1,4,0,0,35.188,0,2,41.232,41.232,42.26,1,2,8.696,8.696,9.406,1,4,29.327,29.327,30.917,1,2,12.4,12.4,13.12,1,2,1.223,1.223,2.173,1,2,0.752,1.213,1.651,2,1,1.02,1.772,2.782,2,2,4.162,4.162,4.935,1,1,1,1,1,1.526,2.968,3.579,4,3,2,3,1,3,1,2,5,1,4,2,5,5,3,5,5,5,2,4,4,4,4,5,4,5,5,1,1,3,2,1,2,3,5,2,2,2,1,4,3,4,2,5,5,4,4,4,4,3,1,0,0,5.846,0,5,It gives better answers,16186716
2018-07-04 11:24:13,2018-07-04 11:36:25,0,73.0.11.8,100,732,1,2018-07-04 11:36:26,R_3MnAo5QmQVG29YL,,,,,27.443099975586,-80.387397766113,anonymous,EN,1,2,33,2,4,5,4,3,2,4,5,4,4,5,3,4,4,5,5,4,5,3,4,5,4,5,4,5,5,4,3,3,3,4,4,4,3,5,4,4,5,5,5,4,4,4,3,4,0.82,34.174,35.925,54,4,5,4,4,2,4,2,2,2,4,3,4,4,4,0.875,14.442,45.033,15,1,1.507,1.507,2.323,1,2,1.086,1.844,2.531,2,4,48.693,48.693,49.488,1,1,3.466,3.466,4.842,1,1,1.882,1.882,3.552,1,1,1.446,1.446,2.181,1,2,0.803,1.616,2.459,2,1,0.786,0.786,1.58,1,4,4,4,1,1.875,7.189,8.288,9,3,3,2,3,2,2,3,2,3,3,2,3,3,4,4,4,4,3,3,2,4,3,4,4,4,2,4,3,3,4,4,3,3,4,3,2,4,4,4,3,4,4,4,3,4,3,3,4,3,2,12.004,131.818,132.729,70,4,It moved better and I liked its voice better,52322976
2018-07-04 11:24:21,2018-07-04 11:39:06,0,71.89.202.71,100,884,1,2018-07-04 11:39:07,R_12x9nX6xNu09eU5,,,,,42.138595581055,-124.24639892578,anonymous,EN,1,1,64,4,4,1,5,1,5,3,4,1,5,5,3,1,5,1,5,3,2,1,1,3,2,1,1,5,4,4,4,5,1,4,1,4,4,5,3,3,1,5,1,5,1,4,1,5,2.995,109.395,110.274,44,5,5,1,5,1,1,1,3,5,3,5,4,5,5,5.845,67.868,69.446,16,1,5.009,5.009,7.431,1,2,2.996,2.996,4.709,1,3,15.148,15.148,16.774,1,2,1.853,1.853,3.273,1,2,2.07,2.07,3.658,1,2,2.244,2.244,4.47,1,2,1.297,1.297,2.959,1,2,2.816,2.816,4.512,1,1,1,1,1,4.41,9.538,13.126,4,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.117,99.94,102.15,51,5,I really don't prefer either. I dislike both equally. Gross robots :(,47803059
2018-07-04 11:25:24,2018-07-04 11:39:16,0,72.249.239.68,100,832,1,2018-07-04 11:39:17,R_3m9s30iSY9IKK9B,,,,,38.080902099609,-108.28600311279,anonymous,EN,1,1,35,5,2,4,4,4,3,5,3,3,3,5,2,1,4,4,4,1,3,2,3,5,5,3,3,3,2,1,4,3,2,4,4,3,4,3,3,2,3,3,3,4,2,3,2,3,2.817,68.702,69.426,45,4,5,3,3,1,1,2,3,4,3,5,4,3,2,3.573,43.056,44.314,14,1,4.545,4.545,7.82,1,1,0.998,0.998,2.153,1,4,5.373,5.373,7.417,1,2,0.885,0.885,1.915,1,2,0.446,0.446,1.385,1,2,0.773,0.773,1.813,1,1,1.679,1.679,2.873,1,2,0.677,0.677,1.66,1,1,1,1,4,3.958,8.798,9.54,4,,,3,1,3,1,1,3,3,1,1,3,4,1,3,3,3,4,5,4,3,4,5,3,4,2,3,1,3,1,1,3,3,1,1,3,4,1,3,3,3,4,4,4,3,4,4,3,4,2,34.627,133.5,134.366,52,5,"It seemed to give better answers, or at least closer answers to what I expected. ",29970894
2018-07-04 11:27:54,2018-07-04 11:39:26,0,104.183.112.198,100,691,1,2018-07-04 11:39:27,R_11cF5e3BWJ8DOPL,,,,,29.676605224609,-82.385498046875,anonymous,EN,1,1,42,4,1,1,5,2,3,5,4,1,4,3,2,1,5,2,2,2,3,1,2,3,5,3,2,4,3,3,4,5,2,4,5,5,5,4,4,1,3,5,2,3,2,4,1,4,3.638,69.358,70.049,45,2,2,4,3,4,4,2,3,2,2,3,2,2,2,4.708,33.598,34.559,14,1,4.72,4.72,5.812,1,2,0.678,0.678,1.415,1,4,10.042,10.042,11.005,1,2,0.427,0.427,1.213,1,2,0.317,0.317,1.029,1,2,0.438,0.438,1.3,1,2,0.33,0.33,1.029,1,2,0.434,0.434,1.385,1,1,1,1,1,3.162,4.364,5.896,4,,,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,18.693,91.341,93.74,57,5,I agreed with more of its answers.,17150341
2018-07-04 11:24:20,2018-07-04 11:39:35,0,73.247.192.128,100,914,1,2018-07-04 11:39:36,R_3noLMH6b1yskh18,,,,,41.191604614258,-87.855499267578,anonymous,EN,1,1,39,3,5,1,5,1,5,1,5,1,5,5,4,1,5,1,5,5,5,1,5,5,3,5,1,5,3,5,1,5,1,5,3,5,5,5,3,5,1,5,5,3,4,5,1,1,3.72,156.511,157.363,45,1,1,5,1,3,3,3,1,1,1,1,1,1,3,7.667,42.028,42.66,15,2,2.201,2.201,3.104,1,2,0.287,0.287,1.05,1,3,33.35,33.35,34.314,1,2,0.972,0.972,1.896,1,2,2.197,2.197,3.279,1,2,0.784,0.784,1.496,1,1,1.874,1.874,2.675,1,2,1.511,1.511,2.455,1,1,1,1,1,4.929,9.098,11.173,4,3,3,5,3,3,3,3,1,1,1,1,3,1,3,1,3,3,3,5,5,3,5,3,5,5,3,4,3,3,3,3,1,1,1,1,3,1,3,1,3,3,3,5,5,3,5,3,5,5,3,32.324,180.359,180.975,51,5,Answers were closer to what I would choose.,77304494
2018-07-04 11:27:53,2018-07-04 11:39:45,0,174.195.131.161,100,712,1,2018-07-04 11:39:47,R_1JXZtrUn8Hzenb2,,,,,36.178405761719,-86.644599914551,anonymous,EN,1,2,60,6,5,3,5,3,5,2,4,4,4,5,5,3,5,2,5,4,4,3,2,5,2,4,2,4,4,4,2,4,2,3,2,4,4,4,2,5,3,4,2,4,3,3,4,3,3.939,95.727,97.596,47,3,3,4,2,4,3,2,2,3,2,2,2,2,3,0,0,51.057,0,2,5.398,5.398,6.341,1,2,0.816,0.816,2.073,1,5,45.028,45.028,46.119,1,2,0.689,0.689,1.731,1,2,0.565,0.565,1.546,1,2,0.774,0.774,1.889,1,2,0.813,0.813,2.082,1,2,0.559,0.559,1.808,1,1,1,1,1,2.758,9.82,11.878,4,,,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,29.019,109.727,111.648,50,5,just seems to be tuned in to my thinking lines better,85661409
2018-07-04 11:26:26,2018-07-04 11:39:51,0,76.104.104.130,100,805,1,2018-07-04 11:39:52,R_2tfZBWrT8dfV9hi,,,,,37.195205688477,-77.459701538086,anonymous,EN,1,1,43,5,3,1,5,1,5,5,5,1,5,5,5,1,5,1,5,3,3,1,1,5,5,3,1,5,5,3,3,5,1,5,2,5,3,5,1,3,1,5,1,3,1,5,1,5,1.859,96.894,97.596,46,1,1,5,1,5,3,1,1,1,1,1,1,1,3,4.873,43.216,44.171,16,1,3.228,3.228,4.29,1,1,0.509,0.509,1.295,1,4,22.882,22.882,23.801,1,1,1.795,1.795,2.852,1,1,0.503,0.503,1.287,1,2,0.502,0.502,1.53,1,2,1.319,1.319,2.806,1,2,0.966,0.966,1.99,1,4,4,4,1,6.447,12.426,13.246,4,3,3,1,1,1,1,1,1,3,1,1,3,3,3,3,3,3,3,2,2,1,1,3,5,5,1,1,1,1,1,1,1,3,1,1,3,3,3,3,3,3,3,2,2,1,1,3,5,5,1,31.691,119.054,119.969,56,4,"I found the responses for Red to be terse. The fewer words the robot uses, the less time it will waste.",84695061
