StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q99#1_1,Q99#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q110,Q111,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you DON'T agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID102_3""}","{""ImportId"":""QID102_4""}","{""ImportId"":""QID102_5""}","{""ImportId"":""QID102_6""}","{""ImportId"":""QID102_7""}","{""ImportId"":""QID102_8""}","{""ImportId"":""QID102_9""}","{""ImportId"":""QID102_10""}","{""ImportId"":""QID102_11""}","{""ImportId"":""QID102_12""}","{""ImportId"":""QID102_13""}","{""ImportId"":""QID102_14""}","{""ImportId"":""QID102_15""}","{""ImportId"":""QID102_16""}","{""ImportId"":""QID102_17""}","{""ImportId"":""QID102_18""}","{""ImportId"":""QID102_19""}","{""ImportId"":""QID102_20""}","{""ImportId"":""QID102_21""}","{""ImportId"":""QID102_22""}","{""ImportId"":""QID102_23""}","{""ImportId"":""QID102_24""}","{""ImportId"":""QID102_25""}","{""ImportId"":""QID102_26""}","{""ImportId"":""QID102_27""}","{""ImportId"":""QID102_28""}","{""ImportId"":""QID102_29""}","{""ImportId"":""QID102_30""}","{""ImportId"":""QID102_31""}","{""ImportId"":""QID102_32""}","{""ImportId"":""QID102_33""}","{""ImportId"":""QID102_34""}","{""ImportId"":""QID102_35""}","{""ImportId"":""QID102_36""}","{""ImportId"":""QID102_37""}","{""ImportId"":""QID102_38""}","{""ImportId"":""QID102_39""}","{""ImportId"":""QID102_40""}","{""ImportId"":""QID102_41""}","{""ImportId"":""QID102_42""}","{""ImportId"":""QID102_43""}","{""ImportId"":""QID102_44""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID106_2""}","{""ImportId"":""QID106_3""}","{""ImportId"":""QID106_4""}","{""ImportId"":""QID106_5""}","{""ImportId"":""QID106_6""}","{""ImportId"":""QID106_7""}","{""ImportId"":""QID106_8""}","{""ImportId"":""QID106_9""}","{""ImportId"":""QID106_10""}","{""ImportId"":""QID106_11""}","{""ImportId"":""QID106_12""}","{""ImportId"":""QID106_13""}","{""ImportId"":""QID106_14""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID90""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID108_6""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID108_7""}","{""ImportId"":""QID108_3""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID99#1_1""}","{""ImportId"":""QID99#2_1""}","{""ImportId"":""QID100#1_1""}","{""ImportId"":""QID100#1_2""}","{""ImportId"":""QID100#1_3""}","{""ImportId"":""QID100#1_4""}","{""ImportId"":""QID100#1_5""}","{""ImportId"":""QID100#1_6""}","{""ImportId"":""QID100#1_7""}","{""ImportId"":""QID100#1_8""}","{""ImportId"":""QID100#1_9""}","{""ImportId"":""QID100#1_10""}","{""ImportId"":""QID100#1_11""}","{""ImportId"":""QID100#1_12""}","{""ImportId"":""QID100#1_13""}","{""ImportId"":""QID100#1_14""}","{""ImportId"":""QID100#1_15""}","{""ImportId"":""QID100#1_16""}","{""ImportId"":""QID100#1_17""}","{""ImportId"":""QID100#1_18""}","{""ImportId"":""QID100#1_19""}","{""ImportId"":""QID100#1_20""}","{""ImportId"":""QID100#1_21""}","{""ImportId"":""QID100#1_22""}","{""ImportId"":""QID100#1_23""}","{""ImportId"":""QID100#1_24""}","{""ImportId"":""QID100#2_1""}","{""ImportId"":""QID100#2_2""}","{""ImportId"":""QID100#2_3""}","{""ImportId"":""QID100#2_4""}","{""ImportId"":""QID100#2_5""}","{""ImportId"":""QID100#2_6""}","{""ImportId"":""QID100#2_7""}","{""ImportId"":""QID100#2_8""}","{""ImportId"":""QID100#2_9""}","{""ImportId"":""QID100#2_10""}","{""ImportId"":""QID100#2_11""}","{""ImportId"":""QID100#2_12""}","{""ImportId"":""QID100#2_13""}","{""ImportId"":""QID100#2_14""}","{""ImportId"":""QID100#2_15""}","{""ImportId"":""QID100#2_16""}","{""ImportId"":""QID100#2_17""}","{""ImportId"":""QID100#2_18""}","{""ImportId"":""QID100#2_19""}","{""ImportId"":""QID100#2_20""}","{""ImportId"":""QID100#2_21""}","{""ImportId"":""QID100#2_22""}","{""ImportId"":""QID100#2_23""}","{""ImportId"":""QID100#2_24""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""survey_code""}"
2018-06-26 02:18:30,2018-06-26 02:20:41,0,71.84.20.24,100,131,1,2018-06-26 02:20:42,R_bQKaMO6AclS4YMN,,,,,35.618896484375,-120.76689910889,anonymous,EN,1,3,27,4,4,5,4,3,4,2,2,3,4,5,4,2,2,4,1,3,4,3,4,5,4,5,4,5,4,2,4,2,4,1,3,5,3,5,2,5,2,2,4,2,4,2,4,3,0.839,15.602,18.102,24,3,5,4,2,2,5,4,5,2,5,2,3,4,5,1.17,4.392,6.712,6,1,0.384,0.384,1.501,1,1,0.446,0.446,1.304,1,4,1.687,1.687,3.059,1,1,0.588,0.588,1.535,1,2,0.419,0.419,1.329,1,1,0.361,0.361,1.339,1,2,0.458,0.458,1.368,1,2,0.551,0.551,1.518,1,1,1,1,4,0.829,3.03,4.174,4,2,3,2,2,4,4,5,4,2,3,4,4,3,2,4,5,4,5,4,3,2,4,2,5,2,4,5,3,2,3,5,2,5,4,5,3,3,5,5,2,2,5,2,5,3,2,5,5,2,2,2.538,25.469,27.032,38,5,"Made me laugh ",48536580
2018-06-26 02:15:00,2018-06-26 02:25:46,0,67.185.202.112,100,645,1,2018-06-26 02:25:47,R_3hApZVcyLKjpPdP,,,,,47.694305419922,-117.45399475098,anonymous,EN,1,2,28,4,4,2,5,1,4,3,2,2,5,4,4,1,5,3,4,4,2,1,4,5,3,2,2,3,4,4,3,5,4,5,1,4,3,5,4,4,2,5,1,4,2,4,1,5,0.801,52.692,52.981,50,1,4,3,4,4,5,1,4,2,4,1,2,1,5,2.807,69.639,71.138,19,1,11.888,12.565,13.381,2,2,0.513,0.99,1.288,2,4,13.231,14.303,15.932,2,2,0.383,0.383,1.322,1,2,0.326,0.326,0.919,1,1,0.425,0.425,1.13,1,2,0.695,33.938,35.69,2,2,0.741,0.741,1.652,1,1,1,4,4,4.056,8.565,8.854,6,2,3,4,3,2,3,2,2,3,3,2,3,4,3,4,5,4,3,3,2,4,4,4,5,4,3,3,2,4,3,1,2,3,2,4,4,3,2,3,3,4,3,5,4,4,4,3,2,3,2,2.816,65.152,67.183,60,4,It seemed to be more emotional and interpreted things a bit a better. I think I could connect with the Red one more and she would be quick to understand the real me.,71323728
2018-06-26 02:16:00,2018-06-26 02:28:35,0,172.56.42.233,100,754,1,2018-06-26 02:28:35,R_pARRjiIWGR9QzRL,,,,,47.54069519043,-122.27119445801,anonymous,EN,1,2,35,3,1,5,5,5,3,5,2,1,3,2,2,1,5,3,1,1,1,1,1,1,5,1,1,5,3,1,5,5,1,1,5,2,5,5,3,1,5,5,1,3,5,1,1,1,0,0,43.92,0,5,5,1,1,3,1,1,1,5,1,5,5,1,5,0,0,32.868,0,1,0.717,0.717,1.393,1,1,0.408,0.829,1.579,2,1,6.116,6.116,8.825,1,1,0.367,0.367,1.491,1,2,0.545,0.846,1.684,2,2,0.371,0.371,1.143,1,2,0.186,1.734,4.974,2,2,1.092,1.792,2.091,2,1,1,1,1,0,0,7.879,0,1,3,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,1,1,2,1,2,5,5,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,1,1,2,1,2,5,5,1,0,0,70.751,0,5,The blue robot's responses seemed to more often follow the prompting of the human agent.,36758871
2018-06-26 02:24:12,2018-06-26 02:33:21,0,73.189.185.116,100,548,1,2018-06-26 02:33:22,R_3EF5lR4xxWJnZZ2,,,,,37.311996459961,-121.96600341797,anonymous,EN,1,1,23,5,4,4,5,1,5,4,5,1,5,5,4,1,5,1,5,3,3,1,1,5,4,1,1,5,5,1,1,5,1,5,2,5,5,5,1,5,1,5,1,5,1,5,1,5,2.168,59.734,60.67,116,3,4,2,2,4,3,4,5,4,1,1,1,1,1,3.934,38.219,38.974,45,2,1.495,1.513,2.046,2,1,0.485,0.503,1.276,2,4,2.322,2.436,3.316,2,1,1.328,1.344,1.764,2,2,0.407,0.423,0.951,2,1,0.318,0.33,0.82,2,1,0.353,1.331,2.519,4,1,0.488,0.404,1.036,2,1,1,1,4,2.693,10.37,11.056,10,1,5,2,2,3,3,4,1,1,1,3,1,2,3,5,5,5,5,4,3,3,4,4,5,3,3,3,3,3,3,3,2,4,3,3,3,3,3,5,5,5,5,4,3,3,4,4,5,3,3,3.493,107.067,107.71,163,5,"It seemed more straight to the point and I think I agreed with it more overall. ",22461851
2018-06-26 02:19:53,2018-06-26 02:35:09,0,107.5.199.80,100,915,1,2018-06-26 02:35:10,R_z8yboNmEnOEu84V,,,,,42.855499267578,-85.882797241211,anonymous,EN,1,1,35,5,2,2,4,2,4,4,4,2,2,4,4,2,4,4,4,4,4,4,3,4,4,4,2,2,4,2,2,4,2,4,4,4,4,2,2,3,2,4,3,4,2,4,2,4,3.703,125.409,127.757,46,2,2,4,2,4,4,2,2,2,2,2,2,2,2,5.566,63.723,66.38,14,1,3.553,3.553,6.295,1,1,1.54,1.54,3.06,1,4,5.403,5.403,8.152,1,1,1.554,1.554,4.39,1,2,2.235,2.235,3.771,1,1,1.325,1.325,2.575,1,2,2.908,2.908,5.795,1,1,1.892,1.892,3.385,1,1,4,1,4,8.548,14.575,16.329,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,40.043,139.762,142.741,61,4,because of the way it sorted options,91869432
2018-06-26 02:19:41,2018-06-26 02:35:41,0,154.123.68.204,100,960,1,2018-06-26 02:35:42,R_1BSfJk5mV2FniSf,,,,,1,38,anonymous,EN,1,1,23,3,2,2,4,1,4,4,5,2,4,4,4,2,4,2,4,2,5,4,1,4,4,5,4,2,2,2,2,4,2,2,4,5,4,4,4,2,2,4,2,2,2,4,2,2,3.783,102.415,103.24,54,4,4,2,2,2,2,1,2,2,2,4,2,2,2,5.342,50.47,51.69,20,1,3.219,3.219,4.644,1,2,1.51,1.51,2.844,1,5,17.788,17.788,19.555,1,1,1.198,1.198,2.448,1,2,1.151,1.151,2.391,1,2,1.452,1.452,2.642,1,2,0.642,2.157,4.294,2,2,3.59,3.59,5.137,1,1,1,1,4,6.516,12.52,13.543,4,1,5,5,3,4,4,2,4,4,4,4,4,5,5,4,4,5,4,4,4,4,5,4,4,4,3,4,3,4,4,2,4,4,3,3,4,5,3,4,3,4,4,4,4,4,3,3,4,4,3,43.266,164.896,166.356,56,5,It seemed more natural.,67147083
2018-06-26 02:23:55,2018-06-26 02:40:20,0,108.48.147.136,100,984,1,2018-06-26 02:40:21,R_3QMNATNP9uEkBpb,,,,,38.891204833984,-76.895301818848,anonymous,EN,1,2,25,3,2,2,2,1,4,4,5,4,5,3,2,1,4,1,3,2,5,4,4,4,4,5,2,5,3,1,4,3,1,4,2,5,4,5,3,1,1,2,2,3,1,2,2,5,3.579,110.76,111.466,52,4,2,2,4,3,2,1,2,3,2,2,2,2,3,4.435,60.324,61.815,18,2,7.803,8.779,9.275,2,2,0.507,0.507,1.332,1,4,4.104,4.104,9.716,1,2,0.394,1.152,1.643,2,1,0.893,0.893,1.864,1,1,0.286,0.286,1.228,1,2,2.965,2.965,4.294,1,2,1.017,1.017,2.109,1,1,4,1,1,10.622,24.696,30.383,5,,,4,3,3,2,3,4,4,2,2,4,3,3,3,3,4,4,4,4,2,4,4,4,4,2,2,3,3,2,3,4,4,2,2,3,4,3,4,4,4,4,3,3,2,3,3,2,2,2,47.834,174.854,176.736,60,4,"The red robot seems to think more logically and it makes it more predictable and more likely to make decisions that make sense. The blue robot appears to be less predictable and uses ""feeling"" when making decisions.",44446845
2018-06-26 02:20:24,2018-06-26 02:41:50,0,173.190.4.199,100,1285,1,2018-06-26 02:41:52,R_3HAJwe97BFLVTVb,,,,,37.132797241211,-84.096397399902,anonymous,EN,1,2,27,4,4,4,4,5,3,4,5,2,2,5,2,1,5,2,2,2,5,2,5,4,4,3,1,2,3,1,1,5,2,5,4,5,4,4,5,2,1,4,5,4,4,5,2,4,3.767,179.468,180.757,155,4,4,4,1,4,3,1,2,3,2,4,1,1,1,2.99,88.85,91.749,73,1,2.663,4.172,5.876,4,1,0.699,1.277,2.28,3,4,3.102,33.705,35.734,14,1,2.133,3.525,4.193,4,2,0.189,0.811,2.007,3,2,0.203,0.683,1.497,3,2,1.397,4.811,5.526,5,2,0.742,1.292,3.025,3,4,4,4,1,1.915,15.784,16.251,12,1,2,1,2,4,1,2,3,3,1,2,2,4,5,5,4,4,5,4,4,5,5,4,5,4,3,2,3,3,1,1,3,2,1,1,2,3,5,3,4,3,5,3,3,4,3,4,4,5,2,1.88,289.13,289.964,294,4,"This robust seemed more lively and natural, compared to the blue robot.",13849534
