StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q79#1_1,Q79#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q110,Q111,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID90_4""}","{""ImportId"":""QID90_5""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_8""}","{""ImportId"":""QID90_9""}","{""ImportId"":""QID90_10""}","{""ImportId"":""QID90_11""}","{""ImportId"":""QID90_12""}","{""ImportId"":""QID90_13""}","{""ImportId"":""QID90_14""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID92_6""}","{""ImportId"":""QID92_2""}","{""ImportId"":""QID92_7""}","{""ImportId"":""QID92_3""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:22:12,2018-07-04 11:34:21,0,68.44.129.34,100,728,1,2018-07-04 11:34:22,R_2PbRHTBUV15y7Z1,,,,,40.153793334961,-85.621299743652,anonymous,EN,1,1,40,5,1,3,3,1,1,5,3,1,3,3,1,1,3,2,1,1,3,1,5,1,5,3,4,4,1,3,4,3,1,1,5,3,5,4,5,1,3,4,2,1,5,3,1,1,1.323,44.201,45.09,45,5,5,2,1,1,1,1,2,5,3,5,5,5,2,1.91,30.172,30.78,14,2,1.284,1.284,2.054,1,2,0.613,0.613,1.349,1,4,12.713,12.713,13.747,1,1,0.893,0.893,1.663,1,1,0.828,0.828,1.773,1,2,0.184,0.184,1.175,1,2,0.056,0.056,0.809,1,2,0.733,0.733,1.469,1,1,1,1,1,2.07,5.499,8.295,4,1,1,1,1,2,1,1,2,2,1,1,3,4,2,3,3,3,3,2,2,2,2,3,4,5,2,1,1,2,1,1,2,2,1,1,3,4,2,3,3,3,3,1,1,2,1,3,4,5,2,6.969,98.681,99.738,53,5,"Neither seemed to really be correct usually.  But the blue was more correct, or had some reasoning it seemed to the choices.",78170450
2018-07-04 11:23:05,2018-07-04 11:35:11,0,104.0.74.90,100,726,1,2018-07-04 11:35:12,R_1fd4d4lOxOX3u7C,,,,,32.626800537109,-96.778396606445,anonymous,EN,1,2,28,2,2,4,5,2,5,4,2,2,4,3,4,1,5,4,2,4,4,3,2,2,5,4,2,5,4,4,3,4,2,2,4,4,3,4,2,4,3,2,2,3,3,5,2,4,1.52,110.188,111.345,65,4,2,2,4,3,4,1,4,2,4,4,1,2,4,1.488,39.697,40.084,18,2,3.764,3.764,4.693,1,2,1.461,3.793,4.367,3,4,17.174,18.472,19.349,2,1,2.39,2.39,3.768,1,2,2.972,2.972,4.595,1,2,1.736,1.736,3.008,1,2,2.095,3.358,4.001,3,1,2.114,2.114,3.581,1,1,1,1,4,3.484,9.602,10.708,4,2,4,4,3,4,4,2,4,3,4,4,3,4,4,3,4,2,3,3,4,4,3,4,2,4,3,2,1,2,2,2,2,3,1,2,3,2,3,2,1,2,3,3,2,2,3,2,3,1,2,1.408,134.089,135.912,70,5,I feel like it was more responsive,61512389
2018-07-04 11:21:55,2018-07-04 11:35:16,0,75.187.69.219,100,801,1,2018-07-04 11:35:17,R_3NKXb0UamcoCm72,,,,,39.479202270508,-84.712997436523,anonymous,EN,1,1,30,5,4,1,4,2,4,2,5,1,2,5,4,2,5,2,4,4,5,2,4,5,2,4,2,2,4,4,2,5,2,5,2,5,4,2,4,4,1,5,4,4,1,5,2,4,2.837,62.014,78.537,45,5,5,2,4,4,2,2,4,4,3,5,4,4,4,4.45,23.341,46.503,15,2,2.408,2.408,3.099,1,2,0.274,0.274,0.702,1,4,16.199,16.199,17.377,1,2,0.242,0.242,0.783,1,2,0.253,0.253,0.778,1,2,0.396,0.396,0.897,1,1,3.887,3.887,4.68,1,2,0.752,0.752,1.53,1,1,1,1,1,1.906,3.24,19.908,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,3,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2,5,5,1,10.776,77.45,127.215,54,5,The blue robot gave more logical and well-thought out (rational) responses. Thus I prefer it to give me better advice.,97488914
2018-07-04 11:21:08,2018-07-04 11:36:11,0,98.143.0.112,100,902,1,2018-07-04 11:36:12,R_3Kw7bWzDQs6wBUq,,,,,35.371505737305,-85.390502929688,anonymous,EN,1,2,25,2,4,2,3,5,4,3,4,3,1,5,3,3,3,4,3,2,4,3,5,5,3,3,3,1,4,2,3,3,4,4,4,4,3,3,4,3,3,3,5,4,1,3,3,3,3.544,107.836,108.839,46,2,3,4,2,4,3,2,3,3,2,3,2,2,2,5.808,68.961,70.036,14,2,1.776,1.776,2.891,1,2,1.154,1.154,2.024,1,4,15.717,15.717,16.919,1,2,1.159,1.159,1.944,1,2,0.845,0.845,1.686,1,2,0.944,0.944,1.814,1,1,1.741,2.467,4.25,2,2,1.158,1.158,2.134,1,1,1,1,1,7.059,17.383,19.17,4,5,1,4,3,2,2,1,3,3,2,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14.926,143.213,147.387,55,5,The way they ordered their options made more sense to me.,91497886
2018-07-04 11:23:26,2018-07-04 11:38:27,0,70.163.6.37,100,900,1,2018-07-04 11:38:28,R_czKefMsMLNWTkv7,,,,,38.793395996094,-77.271598815918,anonymous,EN,1,2,47,8,1,3,4,4,4,5,3,4,3,5,3,2,4,4,5,3,4,4,4,4,4,3,4,3,4,2,3,3,3,4,5,4,3,4,2,2,3,3,4,5,2,3,3,4,3.659,3.659,57.187,1,3,4,3,2,4,2,1,2,3,2,3,2,4,3,26.934,26.934,40.197,1,2,19.09,19.09,23.43,1,2,0.641,0.641,1.88,1,4,5.22,9.83,11.133,2,2,0.817,0.817,1.796,1,2,0.536,0.536,1.757,1,2,0.804,0.804,1.985,1,2,18.307,18.307,19.462,1,2,0.701,0.701,1.948,1,1,1,1,4,7.775,16.425,17.742,4,2,4,3,2,2,3,3,2,4,3,3,4,4,3,4,3,4,4,4,4,3,3,4,3,3,2,4,2,2,3,3,2,4,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,2,18.59,152.488,153.464,57,5,"The blue robot reasons more accurately. I can't see the point of having robots designed to make the same reasoning ""errors"" that humans make.",40243867
2018-07-04 11:22:30,2018-07-04 11:38:29,0,98.177.165.235,100,958,1,2018-07-04 11:38:29,R_0PnrauMTvq3YuaJ,,,,,33.24870300293,-111.63430023193,anonymous,EN,1,1,28,6,2,4,5,1,4,4,2,4,4,4,4,1,5,4,4,4,4,4,2,5,4,4,2,4,3,1,4,5,4,5,5,4,5,2,5,2,1,4,2,4,2,4,4,4,2.806,175.963,176.82,51,4,4,2,1,4,2,1,1,2,1,1,2,2,2,6.833,62.872,63.649,17,2,1.859,1.859,2.94,1,2,0.756,0.756,1.592,1,4,3.651,3.651,6.027,1,2,0.534,0.534,1.372,1,2,0.73,0.73,1.615,1,2,0.606,0.606,1.692,1,2,0.243,1.524,4.599,2,2,1.472,1.472,2.521,1,1,1,1,1,3.372,9.451,10.181,4,1,5,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,3,3,2,4,3,2,3,4,2,4,4,4,4,4,2,2,2,2,2,4,4,3,23.959,167.12,168.689,58,5,ii felt like I agreed with this robots choices more and its thinking was more like my own,27370333
2018-07-04 11:25:21,2018-07-04 11:38:32,0,108.64.75.194,100,790,1,2018-07-04 11:38:32,R_2zMxolsSsInsbQR,,,,,38.112899780273,-122.13310241699,anonymous,EN,1,1,34,5,1,4,5,4,4,5,2,2,1,4,2,2,4,5,1,2,4,2,5,4,5,2,2,1,4,2,4,4,5,5,5,4,4,1,5,1,4,4,5,4,1,4,4,4,1.526,61.761,64.387,68,4,4,2,4,4,2,2,4,2,4,5,5,2,4,4.014,40.439,43.531,20,2,4.527,4.527,5.528,1,1,0.787,0.787,1.393,1,4,15.156,33.103,34.042,13,2,0.585,0.585,1.176,1,2,1.756,2.168,2.783,2,2,0.947,0.947,1.587,1,1,0.443,1.838,2.998,3,1,0.859,1.585,2.198,2,1,1,1,4,4.029,7.312,7.812,4,1,3,2,2,2,2,2,4,3,4,2,2,4,4,4,3,4,4,4,4,3,4,4,4,4,2,2,2,2,2,2,4,2,4,2,2,4,4,3,4,4,4,4,4,3,4,4,4,4,2,27.635,124.299,129.296,126,5,He seemed to analyze things better and his answers were clearer and right most of the time.,46337981
2018-07-04 11:25:12,2018-07-04 11:40:29,0,69.76.44.10,100,917,1,2018-07-04 11:40:31,R_3rOMknByCvQMgz8,,,,,37.766204833984,-87.259101867676,anonymous,EN,1,1,36,3,1,3,4,1,4,5,3,4,4,4,2,3,4,3,3,2,1,4,1,4,5,1,3,3,4,4,4,4,4,3,3,3,4,4,4,2,3,4,1,4,3,3,2,2,2.163,96.267,97.222,50,4,5,3,3,2,1,3,2,4,1,3,1,2,3,9.741,65.81,66.928,17,2,3.3,3.3,4.069,1,2,0.618,0.618,1.703,1,4,2.613,2.613,5.979,1,2,1.038,1.038,1.745,1,2,0.477,0.477,1.067,1,2,0.331,0.331,1.034,1,2,0.384,0.384,1.038,1,2,1.664,1.664,5.036,1,1,1,1,1,1.853,9.809,10.727,4,,,3,1,1,1,1,2,1,1,1,4,3,1,2,2,3,2,2,2,1,2,3,3,5,3,1,1,1,1,1,2,1,1,1,4,3,1,2,2,3,2,2,2,1,2,3,3,5,3,30.178,169.583,170.293,57,5,those answers were correct,43705451
