StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q114#1_1,Q114#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q120,Q121,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you DON'T agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID119""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID104_4""}","{""ImportId"":""QID104_5""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID104_7""}","{""ImportId"":""QID104_8""}","{""ImportId"":""QID104_9""}","{""ImportId"":""QID104_10""}","{""ImportId"":""QID104_11""}","{""ImportId"":""QID104_12""}","{""ImportId"":""QID104_13""}","{""ImportId"":""QID104_14""}","{""ImportId"":""QID104_15""}","{""ImportId"":""QID104_16""}","{""ImportId"":""QID104_17""}","{""ImportId"":""QID104_18""}","{""ImportId"":""QID104_19""}","{""ImportId"":""QID104_20""}","{""ImportId"":""QID104_21""}","{""ImportId"":""QID104_22""}","{""ImportId"":""QID104_23""}","{""ImportId"":""QID104_24""}","{""ImportId"":""QID104_25""}","{""ImportId"":""QID104_26""}","{""ImportId"":""QID104_27""}","{""ImportId"":""QID104_28""}","{""ImportId"":""QID104_29""}","{""ImportId"":""QID104_30""}","{""ImportId"":""QID104_31""}","{""ImportId"":""QID104_32""}","{""ImportId"":""QID104_33""}","{""ImportId"":""QID104_34""}","{""ImportId"":""QID104_35""}","{""ImportId"":""QID104_36""}","{""ImportId"":""QID104_37""}","{""ImportId"":""QID104_38""}","{""ImportId"":""QID104_39""}","{""ImportId"":""QID104_40""}","{""ImportId"":""QID104_41""}","{""ImportId"":""QID104_42""}","{""ImportId"":""QID104_43""}","{""ImportId"":""QID104_44""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID105_2""}","{""ImportId"":""QID105_3""}","{""ImportId"":""QID105_4""}","{""ImportId"":""QID105_5""}","{""ImportId"":""QID105_6""}","{""ImportId"":""QID105_7""}","{""ImportId"":""QID105_8""}","{""ImportId"":""QID105_9""}","{""ImportId"":""QID105_10""}","{""ImportId"":""QID105_11""}","{""ImportId"":""QID105_12""}","{""ImportId"":""QID105_13""}","{""ImportId"":""QID105_14""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID94_FIRST_CLICK""}","{""ImportId"":""QID94_LAST_CLICK""}","{""ImportId"":""QID94_PAGE_SUBMIT""}","{""ImportId"":""QID94_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID80_6""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID80_7""}","{""ImportId"":""QID80_3""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID114#1_1""}","{""ImportId"":""QID114#2_1""}","{""ImportId"":""QID115#1_1""}","{""ImportId"":""QID115#1_2""}","{""ImportId"":""QID115#1_3""}","{""ImportId"":""QID115#1_4""}","{""ImportId"":""QID115#1_5""}","{""ImportId"":""QID115#1_6""}","{""ImportId"":""QID115#1_7""}","{""ImportId"":""QID115#1_8""}","{""ImportId"":""QID115#1_9""}","{""ImportId"":""QID115#1_10""}","{""ImportId"":""QID115#1_11""}","{""ImportId"":""QID115#1_12""}","{""ImportId"":""QID115#1_13""}","{""ImportId"":""QID115#1_14""}","{""ImportId"":""QID115#1_15""}","{""ImportId"":""QID115#1_16""}","{""ImportId"":""QID115#1_17""}","{""ImportId"":""QID115#1_18""}","{""ImportId"":""QID115#1_19""}","{""ImportId"":""QID115#1_20""}","{""ImportId"":""QID115#1_21""}","{""ImportId"":""QID115#1_22""}","{""ImportId"":""QID115#1_23""}","{""ImportId"":""QID115#1_24""}","{""ImportId"":""QID115#2_1""}","{""ImportId"":""QID115#2_2""}","{""ImportId"":""QID115#2_3""}","{""ImportId"":""QID115#2_4""}","{""ImportId"":""QID115#2_5""}","{""ImportId"":""QID115#2_6""}","{""ImportId"":""QID115#2_7""}","{""ImportId"":""QID115#2_8""}","{""ImportId"":""QID115#2_9""}","{""ImportId"":""QID115#2_10""}","{""ImportId"":""QID115#2_11""}","{""ImportId"":""QID115#2_12""}","{""ImportId"":""QID115#2_13""}","{""ImportId"":""QID115#2_14""}","{""ImportId"":""QID115#2_15""}","{""ImportId"":""QID115#2_16""}","{""ImportId"":""QID115#2_17""}","{""ImportId"":""QID115#2_18""}","{""ImportId"":""QID115#2_19""}","{""ImportId"":""QID115#2_20""}","{""ImportId"":""QID115#2_21""}","{""ImportId"":""QID115#2_22""}","{""ImportId"":""QID115#2_23""}","{""ImportId"":""QID115#2_24""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121_TEXT""}","{""ImportId"":""survey_code""}"
2018-06-26 02:15:36,2018-06-26 02:18:09,0,71.84.20.24,100,152,1,2018-06-26 02:18:10,R_1H1pGlFq5o38gIi,,,,,35.618896484375,-120.76689910889,anonymous,EN,1,1,24,3,4,5,4,5,2,5,1,3,4,5,4,5,4,5,4,3,4,5,3,5,4,2,3,5,4,5,4,5,4,1,4,5,4,2,4,5,4,1,4,1,4,2,3,5,2.117,11.935,13.373,15,4,2,1,5,2,2,2,5,4,5,3,1,3,2,2.455,8.578,10.542,9,1,0.855,0.855,1.829,1,1,0.638,0.638,1.561,1,4,6.558,6.558,7.69,1,2,0.942,0.942,1.913,1,1,0.302,0.302,1.504,1,2,0.367,0.367,1.312,1,1,0.19,0.19,1.207,1,2,0.285,0.285,1.423,1,1,1,4,4,1.096,2.685,3.45,4,1,2,4,2,4,3,4,1,3,4,4,2,3,4,4,3,3,2,4,4,1,1,4,2,4,4,5,1,5,3,2,5,3,2,5,4,2,4,4,3,5,2,5,2,1,2,5,3,2,5,2.158,29.013,31.048,35,4,Red seems like a more intelligent being!,15285730
2018-06-26 02:10:42,2018-06-26 02:24:34,0,174.218.2.38,100,831,1,2018-06-26 02:24:35,R_UflHBCi9E6OVrfX,,,,,33.827392578125,-84.324401855469,anonymous,EN,1,2,24,5,2,1,5,3,4,4,3,4,5,4,2,1,4,2,5,3,4,3,2,4,4,4,2,5,4,1,2,4,3,5,4,4,4,4,1,3,2,3,2,4,1,3,3,5,2.051,69.026,69.935,45,2,3,4,4,4,3,1,2,1,1,2,1,2,3,4.23,37.049,37.814,15,2,6.912,6.912,7.921,1,2,1.036,1.036,1.827,1,4,21.691,23.987,26.008,2,2,0.614,1.149,1.811,2,1,0.556,0.556,1.429,1,1,0.643,0.643,1.497,1,1,2.592,2.592,3.608,1,1,1.842,1.842,2.627,1,1,1,1,4,21.024,24.385,27.209,5,1,5,1,1,1,1,1,3,2,1,1,1,2,4,5,3,4,5,4,3,4,3,4,4,4,2,1,1,1,1,1,3,2,1,1,1,2,4,5,3,4,5,2,3,3,2,3,4,4,2,13.925,128.801,130.37,65,5,He was more precise and replicated the list more accurately compared to the red robot.,78958595
2018-06-26 02:10:25,2018-06-26 02:26:40,0,73.184.142.159,100,974,1,2018-06-26 02:26:41,R_3MnjJaiqjh1aenO,,,,,33.918792724609,-84.067802429199,anonymous,EN,1,2,44,3,2,2,3,3,5,4,3,3,4,5,2,2,4,4,5,2,1,3,3,5,4,1,3,4,4,3,4,4,4,5,5,3,4,4,3,2,3,3,2,5,1,3,2,4,3.362,81.166,81.811,50,3,4,3,3,4,3,1,4,3,2,3,2,2,3,4.604,49.65,50.472,18,1,1.532,1.532,4.215,1,2,0.651,0.651,1.487,1,4,2.404,2.404,24.679,1,2,1.612,1.612,2.588,1,2,0.435,0.435,1.186,1,2,0.636,0.636,2.04,1,2,0.608,0.608,1.451,1,1,0.862,0.862,2.04,1,1,1,1,4,10.268,15.572,18.321,4,3,3,2,4,1,1,1,2,2,1,1,1,2,1,3,3,3,3,2,3,3,1,3,2,3,2,2,4,1,1,1,2,2,1,1,1,2,1,3,3,3,3,2,3,3,1,3,2,3,2,6.143,142.827,146.311,66,5,"Honestly, I don't prefer one over the other, but I had to pick something.  I don't detect any notable difference between the robots, other than the color.  They seem to act and speak identically, or nearly enough so that I can't tell any difference.  There are slight, small, and ultimately meaningless differences in some of their movements when answering a question; but otherwise I see nothing to separate them.  They both seem fairly ... useless and bland.  Neither seems lifelike or to have any spark of humanity; not even a forced or artificial humanity.  Neither would be useful as a chatbot, for example.  If I were lonely or looking to talk, neither strikes me as able to participate in a conversation I would benefit from or enjoy.  This is also why I ranked them identically in the bubbles; I detect no measurable difference between them.",80090537
2018-06-26 02:17:28,2018-06-26 02:26:54,0,76.171.45.72,100,565,1,2018-06-26 02:26:55,R_3OcYnCy9uGF2RKj,,,,,33.94140625,-117.95550537109,anonymous,EN,1,2,26,5,1,4,5,3,4,5,4,4,5,4,2,2,5,2,4,2,4,4,1,4,5,5,4,5,2,2,4,3,2,4,5,4,4,5,4,2,2,3,2,3,2,4,2,3,3.237,64.224,65.457,60,4,4,4,2,4,2,2,2,2,2,2,2,2,2,3.275,46.496,47.509,15,2,5.731,5.731,6.554,1,2,0.596,0.596,1.13,1,4,1.92,1.92,2.508,1,2,0.458,0.458,1.097,1,1,0.285,0.285,1.003,1,1,0.208,0.208,0.848,1,2,0.531,1.603,3.01,2,1,0.662,1.183,1.426,2,4,4,4,1,8.808,10.711,15.885,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,1,1,1,4,7.398,73.908,75.212,116,4,"I think it got more of the questions correct although it was pretty even with the blue one taking the initial 3-4. They seem pretty similar. ",18881454
2018-06-26 02:09:50,2018-06-26 02:27:34,0,146.185.31.214,100,1064,1,2018-06-26 02:27:35,R_2uDnYWvFHzdmYcg,,,,,51.496398925781,-0.12240600585938,anonymous,EN,1,1,22,5,5,4,4,3,4,3,3,3,4,5,5,2,3,4,4,4,5,4,5,4,3,5,3,4,3,4,3,3,4,4,4,4,5,5,4,3,4,4,5,4,5,5,1,4,3.318,80.713,82.703,47,2,5,5,2,5,5,1,4,2,1,4,1,2,3,4.889,104.683,106.459,19,2,3.269,3.269,5.18,1,2,1.091,1.091,2.639,1,1,11.431,11.431,19.242,1,1,1.155,1.155,3.781,1,1,1.053,1.053,2.277,1,1,1.135,1.135,2.187,1,1,2.221,2.221,4.312,1,2,1.775,1.775,3.019,1,1,1,4,4,4.997,16.631,18.264,4,3,3,3,4,4,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,11.944,130.403,131.583,58,5,"because of his mechanic more sophisticated
",20045115
2018-06-26 02:16:23,2018-06-26 02:32:00,0,24.20.124.0,100,937,1,2018-06-26 02:32:01,R_2roR87VV8m5pLel,,,,,45.498001098633,-122.77839660645,anonymous,EN,1,2,29,2,1,2,4,3,3,5,4,2,4,5,1,1,4,2,3,1,2,2,3,3,5,2,3,4,3,2,5,4,2,4,5,4,4,4,4,1,2,4,2,4,3,4,2,3,1.828,60.107,62.175,45,3,4,3,2,4,3,1,2,3,1,4,2,2,4,3.4,68.703,69.599,14,2,2.793,2.793,7.353,1,2,0.889,0.889,1.77,1,4,6.876,6.876,45.986,1,2,0.551,0.551,1.8,1,1,0.292,0.292,1.128,1,1,0.476,0.476,1.21,1,1,0.271,1.673,3.746,2,1,0.848,0.848,1.688,1,1,1,1,1,5.293,13.625,17.002,5,1,5,3,2,2,3,3,2,3,3,3,3,4,3,3,3,3,3,4,4,4,3,4,4,4,3,2,1,1,2,1,1,2,1,1,2,4,2,3,3,2,3,3,3,4,3,3,2,2,4,21.826,181.804,182.562,61,5,I think I agreed with their answers more.  They also seemed to speak and move more naturally.,70392340
2018-06-26 02:27:19,2018-06-26 02:34:04,0,198.184.147.16,100,404,1,2018-06-26 02:34:05,R_2s1oySXpuCCFaRv,,,,,40.44059753418,-79.995903015137,anonymous,EN,1,1,31,6,4,3,4,2,4,4,4,2,4,5,5,1,4,2,4,4,2,3,3,3,2,4,2,5,5,2,2,2,2,2,3,3,3,2,3,4,2,4,2,4,3,4,4,4,1.493,47.974,48.964,99,2,3,3,3,4,4,2,4,4,3,3,3,4,3,1.856,14.036,14.723,31,2,1.61,1.61,22.554,2,1,0.472,0.478,1.037,2,1,3.603,3.609,5.015,2,1,0.859,2.001,2.025,5,1,0.626,0.631,1.144,2,1,0.451,0.456,0.986,2,2,12.175,12.181,12.726,2,1,23.28,23.285,23.806,2,4,4,4,1,1.794,4.963,5.637,8,4,2,4,3,3,3,4,3,3,2,3,4,4,3,2,4,4,3,3,2,3,4,4,3,3,2,3,4,4,3,3,2,2,3,3,4,4,4,4,4,3,3,2,2,2,3,3,4,2,3,2.292,45.53,46.134,118,4,I liked his responses better,26047324
2018-06-26 02:22:27,2018-06-26 02:34:42,0,68.37.211.184,100,735,1,2018-06-26 02:34:43,R_300GCOduv0FGOye,,,,,42.272994995117,-83.599403381348,anonymous,EN,1,1,28,6,4,3,3,3,3,2,3,3,4,3,3,3,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,4,3,4,2,3,1.132,49.286,49.893,52,3,4,3,3,3,2,3,4,3,3,3,4,3,3,0.901,11.398,12.701,15,1,0.922,6.14,11.32,3,1,1.05,1.05,1.702,1,4,4.331,4.331,5.129,1,1,0.977,0.977,3.341,1,1,1.072,1.072,1.799,1,1,0.923,0.923,1.935,1,1,0.732,0.732,1.472,1,1,0.869,0.869,1.481,1,4,4,4,1,1.162,2.238,2.972,4,3,4,3,2,3,3,2,3,3,3,4,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,2.518,41.707,42.75,54,4,"is smarter than the blue robot ",79544071
