StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q93#1_1,Q93#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q75,Q76,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID91_4""}","{""ImportId"":""QID91_5""}","{""ImportId"":""QID91_6""}","{""ImportId"":""QID91_7""}","{""ImportId"":""QID91_8""}","{""ImportId"":""QID91_9""}","{""ImportId"":""QID91_10""}","{""ImportId"":""QID91_11""}","{""ImportId"":""QID91_12""}","{""ImportId"":""QID91_13""}","{""ImportId"":""QID91_14""}","{""ImportId"":""QID91_15""}","{""ImportId"":""QID91_16""}","{""ImportId"":""QID91_17""}","{""ImportId"":""QID91_18""}","{""ImportId"":""QID91_19""}","{""ImportId"":""QID91_20""}","{""ImportId"":""QID91_21""}","{""ImportId"":""QID91_22""}","{""ImportId"":""QID91_23""}","{""ImportId"":""QID91_24""}","{""ImportId"":""QID91_25""}","{""ImportId"":""QID91_26""}","{""ImportId"":""QID91_27""}","{""ImportId"":""QID91_28""}","{""ImportId"":""QID91_29""}","{""ImportId"":""QID91_30""}","{""ImportId"":""QID91_31""}","{""ImportId"":""QID91_32""}","{""ImportId"":""QID91_33""}","{""ImportId"":""QID91_34""}","{""ImportId"":""QID91_35""}","{""ImportId"":""QID91_36""}","{""ImportId"":""QID91_37""}","{""ImportId"":""QID91_38""}","{""ImportId"":""QID91_39""}","{""ImportId"":""QID91_40""}","{""ImportId"":""QID91_41""}","{""ImportId"":""QID91_42""}","{""ImportId"":""QID91_43""}","{""ImportId"":""QID91_44""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID102_3""}","{""ImportId"":""QID102_4""}","{""ImportId"":""QID102_5""}","{""ImportId"":""QID102_6""}","{""ImportId"":""QID102_7""}","{""ImportId"":""QID102_8""}","{""ImportId"":""QID102_9""}","{""ImportId"":""QID102_10""}","{""ImportId"":""QID102_11""}","{""ImportId"":""QID102_12""}","{""ImportId"":""QID102_13""}","{""ImportId"":""QID102_14""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_7""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID93#1_1""}","{""ImportId"":""QID93#2_1""}","{""ImportId"":""QID94#1_1""}","{""ImportId"":""QID94#1_2""}","{""ImportId"":""QID94#1_3""}","{""ImportId"":""QID94#1_4""}","{""ImportId"":""QID94#1_5""}","{""ImportId"":""QID94#1_6""}","{""ImportId"":""QID94#1_7""}","{""ImportId"":""QID94#1_8""}","{""ImportId"":""QID94#1_9""}","{""ImportId"":""QID94#1_10""}","{""ImportId"":""QID94#1_11""}","{""ImportId"":""QID94#1_12""}","{""ImportId"":""QID94#1_13""}","{""ImportId"":""QID94#1_14""}","{""ImportId"":""QID94#1_15""}","{""ImportId"":""QID94#1_16""}","{""ImportId"":""QID94#1_17""}","{""ImportId"":""QID94#1_18""}","{""ImportId"":""QID94#1_19""}","{""ImportId"":""QID94#1_20""}","{""ImportId"":""QID94#1_21""}","{""ImportId"":""QID94#1_22""}","{""ImportId"":""QID94#1_23""}","{""ImportId"":""QID94#1_24""}","{""ImportId"":""QID94#2_1""}","{""ImportId"":""QID94#2_2""}","{""ImportId"":""QID94#2_3""}","{""ImportId"":""QID94#2_4""}","{""ImportId"":""QID94#2_5""}","{""ImportId"":""QID94#2_6""}","{""ImportId"":""QID94#2_7""}","{""ImportId"":""QID94#2_8""}","{""ImportId"":""QID94#2_9""}","{""ImportId"":""QID94#2_10""}","{""ImportId"":""QID94#2_11""}","{""ImportId"":""QID94#2_12""}","{""ImportId"":""QID94#2_13""}","{""ImportId"":""QID94#2_14""}","{""ImportId"":""QID94#2_15""}","{""ImportId"":""QID94#2_16""}","{""ImportId"":""QID94#2_17""}","{""ImportId"":""QID94#2_18""}","{""ImportId"":""QID94#2_19""}","{""ImportId"":""QID94#2_20""}","{""ImportId"":""QID94#2_21""}","{""ImportId"":""QID94#2_22""}","{""ImportId"":""QID94#2_23""}","{""ImportId"":""QID94#2_24""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:29:00,2018-07-04 11:40:54,0,67.241.46.125,100,714,1,2018-07-04 11:40:55,R_21B8Fhp2vX28v1o,,,,,43.24560546875,-75.480201721191,anonymous,EN,1,2,31,2,4,5,4,5,5,4,4,3,2,5,3,4,4,4,5,3,2,2,5,5,4,1,3,2,5,5,5,5,5,4,4,2,4,3,2,3,4,3,5,4,2,2,5,4,1.778,71.047,71.655,48,5,5,1,5,1,1,3,3,5,5,5,5,5,3,2.758,30.741,31.263,15,1,1.419,1.419,2.638,1,1,0.295,0.295,1.071,1,4,37.256,37.256,37.889,1,2,1.172,1.172,2.046,1,1,0.298,0.298,0.943,1,1,0.401,0.401,1.778,1,2,1.626,1.626,2.391,1,1,0.709,0.709,1.513,1,4,4,4,4,2.526,5.564,6.241,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14.401,62.201,62.554,62,4,It seemed to have a better understanding of what was going on.,35765272
2018-07-04 11:29:15,2018-07-04 11:42:52,0,72.198.74.135,100,816,1,2018-07-04 11:42:52,R_3fDCTlzcJxKq6pe,,,,,35.515106201172,-97.574096679688,anonymous,EN,1,2,56,4,2,3,4,3,4,4,4,2,2,4,4,3,4,4,4,3,3,1,4,4,5,4,2,4,4,2,2,4,4,4,4,3,4,2,3,4,3,4,3,4,1,3,2,4,99.957,179.6,180.74,72,4,4,5,2,3,2,1,2,2,2,2,2,2,3,1.636,33.851,34.585,25,1,2.175,2.175,3.377,1,1,0.891,0.891,1.687,1,2,18.619,18.619,19.511,1,1,1.02,1.02,1.997,1,1,0.806,0.806,1.967,1,1,0.73,0.73,1.661,1,2,2.466,2.466,3.578,1,1,1.145,1.145,1.88,1,4,4,4,4,2.045,8.438,9.026,6,3,3,3,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4,3,3,2,6.936,79.855,82.584,70,4,I think it understands better,30470821
2018-07-04 11:30:27,2018-07-04 11:43:38,0,184.167.83.143,100,790,1,2018-07-04 11:43:38,R_2aqSmFZ9XYYW1y9,,,,,41.103393554688,-104.90589904785,anonymous,EN,1,1,48,5,3,1,5,1,3,3,5,1,4,3,3,1,5,2,3,3,4,1,2,3,2,3,1,4,3,2,1,5,1,4,1,4,5,4,3,3,1,4,1,2,2,4,1,3,1.877,72.862,73.725,48,5,5,1,5,1,1,2,2,5,2,5,4,5,3,2.937,43.992,44.895,15,1,3.297,3.297,4.683,1,1,0.968,0.968,2.184,1,1,18.877,18.877,20.056,1,1,0.827,0.827,1.916,1,1,0.783,0.783,1.867,1,1,0.697,0.697,2.045,1,2,0.79,3.6,4.804,2,1,1.657,1.657,2.565,1,4,4,4,1,3.804,8.828,9.914,6,,,2,2,3,2,1,3,2,1,1,3,3,2,3,3,3,3,3,4,3,3,4,2,2,3,2,2,3,2,2,3,2,1,1,3,3,4,3,3,3,3,3,4,3,3,4,3,4,3,17.578,120.901,121.867,58,4,agreed with most of their responses.  Seemed 'calmer' than blue,10741664
2018-07-04 11:29:46,2018-07-04 11:44:36,0,24.167.164.138,100,889,1,2018-07-04 11:44:37,R_1jAF9n0A9Im2vLb,,,,,36.071395874023,-79.76789855957,anonymous,EN,1,2,64,4,2,1,5,1,4,4,5,1,5,5,2,1,5,1,3,2,5,1,1,5,4,5,1,5,5,2,2,5,1,4,4,5,5,5,2,2,1,4,1,4,1,4,1,2,2.802,92.522,96.749,45,2,2,4,2,4,4,2,2,2,2,2,2,2,2,4.055,38.162,40.48,14,1,4.2,4.2,5.486,1,2,1.008,1.008,2.092,1,1,20.097,29.883,31.569,5,2,1.084,1.084,2.223,1,2,0.96,0.96,1.914,1,2,1.548,1.548,2.575,1,1,0.752,3.337,4.67,2,2,1.745,1.745,2.809,1,1,1,1,1,5.767,19.118,20.213,6,3,3,3,2,1,2,1,2,2,1,1,3,4,4,4,3,4,3,3,3,3,3,3,4,5,2,3,2,1,2,1,2,2,1,1,3,4,3,4,3,4,3,3,3,3,3,3,4,5,2,16.26,147.293,149.201,54,5,It's answers were closer to mine although neither picked the choices in the order I would have.,15653063
2018-07-04 11:32:36,2018-07-04 11:44:43,0,97.121.110.141,100,727,1,2018-07-04 11:44:44,R_22DoECqnN3Ij1LA,,,,,44.10139465332,-122.80630493164,anonymous,EN,1,1,54,5,4,1,4,1,5,4,4,2,5,5,4,1,4,1,5,2,4,2,1,4,2,5,1,5,5,4,2,4,1,5,4,5,5,5,3,2,1,4,1,5,1,5,2,4,3.177,65.87,66.614,50,5,5,1,5,1,1,1,4,5,4,5,4,5,5,2.611,35.413,36.495,17,2,3.434,3.434,4.425,1,2,0.919,0.919,2.153,1,4,7.8,7.8,8.987,1,1,0.839,0.839,2.077,1,1,0.951,0.951,2.119,1,1,1.116,1.116,2.265,1,1,0.914,0.914,1.906,1,2,1.012,1.012,2.451,1,4,4,4,1,4.385,13.679,14.593,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,11.653,67.076,69.014,60,5,less chatty,11450400
2018-07-04 11:32:22,2018-07-04 11:45:37,0,142.129.109.174,100,795,1,2018-07-04 11:45:38,R_2pJOSS10WzM3WWT,,,,,34.076400756836,-118.26260375977,anonymous,EN,1,1,33,5,4,1,4,1,4,2,4,2,4,2,4,2,4,2,4,4,4,2,2,4,2,4,2,4,3,4,2,4,2,4,2,4,4,4,3,4,2,4,2,4,2,4,2,4,2.191,54.042,55.143,44,2,2,4,2,4,4,1,2,2,4,4,2,2,3,3.446,24.991,25.803,15,2,3.875,3.875,4.998,1,2,2.187,2.187,4.274,1,4,4.834,40.964,42.784,2,1,0.806,0.806,1.803,1,2,1.176,1.176,2.178,1,2,0.417,0.417,1.302,1,1,1.876,1.876,2.748,1,1,2.932,2.932,3.967,1,4,4,1,4,7.016,13.233,14.223,5,4,3,4,4,3,5,4,4,4,4,4,5,5,4,5,4,4,5,5,5,4,4,3,4,4,2,3,3,4,3,3,3,3,4,4,3,4,4,4,4,3,3,4,4,3,3,3,4,4,4,2.026,71.882,73.478,63,5,I tink that one was more like friends and people I have worked with. I feel more confrontable being around that one,42163469
2018-07-04 11:30:14,2018-07-04 11:47:51,0,69.204.84.71,100,1056,1,2018-07-04 11:47:51,R_1qX1ebn98pbtgwr,,,,,42.935592651367,-78.806602478027,anonymous,EN,1,1,37,5,1,3,4,2,4,5,5,3,4,5,4,2,5,4,5,3,2,3,3,5,5,2,3,4,4,2,3,3,3,5,5,5,5,4,3,1,3,4,3,5,1,3,3,5,4.929,87.826,88.535,50,5,5,2,3,2,2,1,1,5,3,3,3,1,3,25.066,141.459,142.37,18,2,11.044,11.044,17.221,1,2,1.812,1.812,3.057,1,4,8.445,14.792,15.473,3,2,0.868,0.868,1.546,1,1,0.878,0.878,1.967,1,1,1.159,1.159,2.122,1,1,4.348,4.348,5.43,1,1,0.67,0.67,1.649,1,4,4,4,4,15.018,29.715,30.554,5,3,3,3,3,4,3,2,4,2,3,3,5,4,4,3,3,4,5,4,4,5,5,5,5,5,2,3,3,4,3,2,4,2,3,3,5,4,4,3,3,4,5,5,5,5,5,5,5,5,2,25.434,173.646,174.387,65,4,For some reason this robot is more memorable to me. I think this robot was correct more often. ,80878075
2018-07-04 11:30:24,2018-07-04 11:48:50,0,49.34.144.242,100,1106,1,2018-07-04 11:48:51,R_1rvlkbhwPHqOJrp,,,,,22.300003051758,73.199996948242,anonymous,EN,1,2,21,5,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,2.301,61.091,64.687,44,4,3,3,4,4,4,2,3,3,4,4,3,3,4,7.098,26.187,27.014,15,2,6.145,6.145,16.691,1,2,5.234,5.234,6.381,1,4,6.959,6.959,8.898,1,1,0.89,0.89,2.156,1,1,1.171,1.171,1.975,1,2,1.4,1.4,2.29,1,2,0.76,2.858,4.446,2,1,1.332,1.332,2.676,1,4,1,4,1,8.719,20.705,21.867,8,1,1,3,2,3,3,4,4,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,7.896,72.037,74.769,58,4,BECAUSE THIS ROBOT FAIR THIS TASK,88506671
