StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q2.1_11,Q2.1_12,Q2.1_13,Q2.1_14,Q2.1_15,Q2.1_16,Q2.1_17,Q2.1_18,Q2.1_19,Q2.1_20,Q2.1_21,Q2.1_22,Q2.1_23,Q2.1_24,Q2.1_25,Q2.1_26,Q2.1_27,Q2.1_28,Q2.1_29,Q2.1_30,Q2.1_31,Q2.1_32,Q2.1_33,Q2.1_34,Q2.1_35,Q2.1_36,Q2.1_37,Q2.1_38,Q2.1_39,Q2.1_40,Q2.1_41,Q2.1_42,Q2.1_43,Q2.1_44,Q2.2_First Click,Q2.2_Last Click,Q2.2_Page Submit,Q2.2_Click Count,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.1_14,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q5.1,Q5.2_First Click,Q5.2_Last Click,Q5.2_Page Submit,Q5.2_Click Count,Q7.1,Q7.2_First Click,Q7.2_Last Click,Q7.2_Page Submit,Q7.2_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q10.1,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q12.1,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q14.1,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q16.1,Q16.2_First Click,Q16.2_Last Click,Q16.2_Page Submit,Q16.2_Click Count,Q18.1,Q18.2_First Click,Q18.2_Last Click,Q18.2_Page Submit,Q18.2_Click Count,Q19.1_6,Q19.1_2,Q19.1_7,Q19.1_3,Q19.2_First Click,Q19.2_Last Click,Q19.2_Page Submit,Q19.2_Click Count,Q79#1_1,Q79#2_1,Q20.2#1_1,Q20.2#1_2,Q20.2#1_3,Q20.2#1_4,Q20.2#1_5,Q20.2#1_6,Q20.2#1_7,Q20.2#1_8,Q20.2#1_9,Q20.2#1_10,Q20.2#1_11,Q20.2#1_12,Q20.2#1_13,Q20.2#1_14,Q20.2#1_15,Q20.2#1_16,Q20.2#1_17,Q20.2#1_18,Q20.2#1_19,Q20.2#1_20,Q20.2#1_21,Q20.2#1_22,Q20.2#1_23,Q20.2#1_24,Q20.2#2_1,Q20.2#2_2,Q20.2#2_3,Q20.2#2_4,Q20.2#2_5,Q20.2#2_6,Q20.2#2_7,Q20.2#2_8,Q20.2#2_9,Q20.2#2_10,Q20.2#2_11,Q20.2#2_12,Q20.2#2_13,Q20.2#2_14,Q20.2#2_15,Q20.2#2_16,Q20.2#2_17,Q20.2#2_18,Q20.2#2_19,Q20.2#2_20,Q20.2#2_21,Q20.2#2_22,Q20.2#2_23,Q20.2#2_24,Q20.3_First Click,Q20.3_Last Click,Q20.3_Page Submit,Q20.3_Click Count,Q110,Q111,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot DON'T you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""survey_code""}"
2018-07-04 11:41:11,2018-07-04 11:51:32,0,75.139.160.114,100,620,1,2018-07-04 11:51:32,R_2fwWymlJrfVh3SC,,,,,47.370697021484,-120.35929870605,anonymous,EN,1,1,37,4,5,1,5,1,5,1,5,1,5,4,5,1,5,1,5,5,5,1,2,4,1,5,1,5,5,2,1,5,1,5,1,5,5,5,3,5,1,5,1,5,1,5,1,5,21.316,98.63,99.556,46,3,2,4,1,3,3,1,1,1,1,1,1,1,3,6.267,45.284,47.515,15,1,2.085,2.085,3.379,1,1,0.499,0.499,1.72,1,1,7.161,7.161,14.575,1,2,0.448,0.448,1.631,1,2,2.561,2.561,4.167,1,1,0.302,0.302,4.393,1,2,0.298,0.298,1.606,1,2,0.589,0.589,1.733,1,1,4,1,4,9.614,14.853,15.978,4,2,2,2,2,3,3,2,3,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,2,2,3,3,3,3,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,20.241,93.612,95.393,53,5,"I just felt more comfortable interacting with the blue, and could see myself working along side this robot.",48809386
2018-07-04 11:42:17,2018-07-04 11:53:03,0,173.239.197.238,100,646,1,2018-07-04 11:53:05,R_3MDyFl7SXwGlfUi,,,,,40.498092651367,-74.319396972656,anonymous,EN,1,2,32,5,1,3,5,1,4,3,3,1,5,5,5,3,5,1,4,5,2,1,1,4,4,1,1,5,4,4,3,5,2,1,4,3,5,5,2,2,3,5,1,4,5,5,1,1,1.903,63.685,64.49,44,5,5,1,1,3,1,1,1,5,1,5,1,1,4,2.783,34.892,35.698,14,2,1.331,1.331,2.636,1,2,0.988,0.988,1.715,1,4,2.304,2.304,4.431,1,2,0.909,0.909,1.83,1,1,0.893,0.893,1.558,1,1,0.804,0.804,1.919,1,2,0.664,1.457,2.266,2,1,0.814,0.814,1.699,1,1,4,1,4,3.268,9.002,10.034,4,1,1,1,1,1,1,1,1,1,1,1,5,1,2,3,3,3,3,5,5,3,3,3,4,5,3,1,1,3,3,2,1,2,1,1,5,3,2,3,3,3,3,5,5,3,3,3,4,5,3,4.598,72.764,73.174,55,4,Seemed more personable.,23291982
2018-07-04 11:41:36,2018-07-04 11:54:09,0,72.182.160.80,100,753,1,2018-07-04 11:54:10,R_1oklEFUUXdXoCIs,,,,,32.660598754883,-97.02490234375,anonymous,EN,1,2,29,4,2,2,4,2,4,4,3,2,4,3,4,2,4,2,4,4,4,2,2,4,2,4,2,4,2,2,2,4,2,4,2,4,3,4,4,2,2,3,3,4,4,3,2,4,5.022,60.638,61.322,45,2,2,4,2,4,3,2,2,3,2,3,2,3,3,7.464,32.477,33.412,14,2,1.528,1.528,2.215,1,1,2.351,2.351,3.007,1,4,49.385,49.385,50.121,1,2,0.692,0.692,1.687,1,2,0.455,0.455,1.374,1,2,0.298,0.298,1.056,1,2,4.043,4.043,5.63,1,2,1.35,1.35,2.402,1,1,1,1,4,3.151,9.496,10.204,5,4,2,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,3,4,4,2,2,3,4,4,4,4,4,4,3,3,3,3,3,3,3,2,8.966,69.662,70.866,53,5,i feel like they were moving well and answering the questions more correctly,49031928
2018-07-04 11:40:56,2018-07-04 11:54:12,0,99.182.200.225,100,796,1,2018-07-04 11:54:13,R_bvxDNT0B8LUyW5P,,,,,33.176895141602,-96.698501586914,anonymous,EN,1,1,46,2,2,3,4,4,3,4,4,2,2,3,2,3,4,4,2,2,3,3,4,2,4,4,5,2,3,2,4,4,4,2,4,4,4,2,5,2,3,3,4,2,3,3,3,2,3.726,95.285,96.263,45,4,4,2,4,2,2,2,4,4,3,4,4,3,3,5.803,76.708,77.632,15,1,6.625,6.625,7.655,1,1,1.36,1.36,2.462,1,1,8.1,8.1,11.398,1,1,0.762,0.762,1.703,1,1,0.656,0.656,1.61,1,1,0.711,0.711,1.598,1,2,0.664,2.928,3.837,3,1,1.286,1.286,2.237,1,4,4,4,4,4.195,8.318,9.413,4,1,5,3,3,4,3,2,4,3,3,3,4,3,3,3,3,3,3,4,2,3,4,3,3,3,3,3,3,4,3,2,4,3,3,3,4,3,3,3,3,3,3,4,2,3,4,3,3,3,3,41.61,148.548,150.033,52,4,It's choices seemed to be better,34434879
2018-07-04 11:40:51,2018-07-04 11:54:32,0,73.37.114.204,100,821,1,2018-07-04 11:54:33,R_5otbnOBmkJKR6Qp,,,,,45.544204711914,-122.64309692383,anonymous,EN,1,1,37,4,4,2,5,1,3,2,5,2,5,5,3,5,5,2,4,5,4,1,2,4,3,3,1,5,4,3,2,5,1,4,3,5,4,4,2,4,2,5,2,4,1,4,1,4,2.714,169.309,170.129,121,4,4,1,4,2,4,3,4,3,2,3,4,3,4,0.589,23.868,23.879,36,2,3.215,3.221,4.021,2,1,1.552,1.556,2.432,2,5,0.837,9.297,9.928,5,2,0.785,0.789,1.485,2,1,1.686,3.022,3.881,3,2,0.951,0.956,1.747,2,1,2.054,2.056,3.009,2,1,2.316,2.319,3.237,2,4,4,4,1,2.298,7.22,7.727,10,5,4,4,2,3,3,4,2,4,4,3,3,2,3,5,5,5,1,4,4,3,4,5,4,3,4,3,2,3,2,3,2,2,1,4,3,2,3,5,5,5,4,3,2,3,3,5,3,2,2,10.527,70.191,70.889,140,4,"I do not really like robots, but I liked the red one because it seemed more competent than the other robot.",87946647
2018-07-04 11:41:04,2018-07-04 11:55:29,0,50.46.135.79,100,865,1,2018-07-04 11:55:30,R_2w4EgoJ8AVydxdy,,,,,47.820907592773,-122.31510162354,anonymous,EN,1,2,35,5,3,4,5,1,5,3,1,1,5,5,4,4,5,1,5,4,1,1,1,5,2,1,1,5,5,4,5,5,1,1,1,1,5,5,1,3,4,5,1,4,5,2,1,3,1.636,27.173,43.42,2,1,1,5,1,4,3,1,1,1,1,1,1,1,2,109.67,121.116,121.972,10,1,10.56,10.56,11.707,1,1,1.563,1.563,2.819,1,4,15.4,54.223,55.89,2,1,0.769,0.769,1.436,1,1,0.441,0.441,1.303,1,1,1.596,2.285,2.674,2,2,2.591,3.036,3.707,2,1,0.575,0.575,1.516,1,4,4,4,4,2.794,5.557,6.559,4,3,3,3,1,3,1,1,1,3,1,1,4,4,3,3,3,3,3,2,2,3,2,3,3,5,1,3,1,3,1,1,1,3,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,5,1,15.921,15.921,53.536,1,4,It seems more smartly programmed.,37540071
2018-07-04 11:40:48,2018-07-04 11:55:59,0,173.29.13.92,100,911,1,2018-07-04 11:56:00,R_1qgOW38YevjYc4Y,,,,,41.573806762695,-90.458198547363,anonymous,EN,1,2,30,5,2,2,4,2,3,4,4,2,4,4,4,2,4,3,3,3,4,2,2,2,4,4,2,4,3,3,3,4,2,2,4,4,4,3,4,3,2,4,2,3,4,4,2,2,2.28,95.943,96.778,45,4,4,5,2,2,2,1,2,3,2,4,3,2,4,5.189,130.709,131.753,17,1,9.254,9.254,10.233,1,1,1.358,2.694,4.052,2,4,43.262,43.262,43.913,1,1,1.103,1.103,2.081,1,2,0.905,0.905,1.978,1,2,0.449,0.984,1.727,2,2,0.579,1.954,3.065,2,2,2.011,2.011,3.091,1,4,4,4,1,5.796,13.197,15.72,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,2,10.5,93.447,94.266,50,4,The red robot sounded and moved more mechanically and certain. It made me feel like I could trust this robot more.,14023189
2018-07-04 11:41:24,2018-07-04 11:56:14,0,174.59.5.41,100,889,1,2018-07-04 11:56:15,R_30cqnT68XKtYGfh,,,,,40.53059387207,-76.622901916504,anonymous,EN,1,2,38,2,2,2,5,2,5,5,4,2,3,4,3,1,4,3,5,3,4,1,3,5,5,4,3,4,5,3,3,3,3,5,5,4,5,4,3,2,1,3,2,5,1,4,2,4,4.111,94.35,95.139,45,2,2,4,1,5,5,1,3,1,1,2,1,1,3,5.258,47.86,48.679,14,1,2.91,2.91,3.966,1,1,0.662,0.662,1.616,1,4,29.835,29.835,32.207,1,1,0.992,0.992,1.936,1,1,0.601,0.601,1.52,1,1,0.43,0.43,1.46,1,2,2.138,2.138,2.945,1,1,0.736,0.736,1.75,1,4,4,4,4,3.717,8.074,8.918,4,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,50.898,140.536,141.338,56,4,"I seemed to be a little more expressive, and sounded like it was putting thought into answers.  It also more accurately rated the answers in the way I anticipated.",24813908
